query_duration,query_stream_id,query_id,data_scanned,cpu_time
6.673,3,7,47.45,61090
3.172,3,6,32.98,17490
6.279,3,5,41.06,6619
36.793,19,18,10874.88,73222080
29.143,19,18,10874.88,73222080
8.769,16,20,4290.56,3936350
11.09,15,21,5560.32,6675260
8.227,15,20,2949.12,2732290
25.644,19,18,10874.88,73222080
3.068,2,19,51.4,51580
3.955,8,13,137.23,1022140
8.863,11,13,340.48,2482340
7.55,5,21,263.47,339420
6.759,5,9,200.62,383550
4.37,8,20,358.53,324170
7.508,8,8,441.41,472360
3.711,8,17,266.05,297010
4.152,8,13,137.23,1022140
3.978,8,10,266.13,665770
3.545,8,13,137.23,1022140
6.387,8,7,373.81,427630
4.61,8,12,231.89,449400
3.495,5,22,19.48,59460
4.689,9,15,941.18,463900
3.996,5,21,263.47,339420
4.005,5,3,117.33,336150
3.706,5,19,129.23,154740
4.672,3,19,51.4,51580
5.238,15,19,2744.32,3043220
7.562,5,11,42.57,47160
4.192,8,17,266.05,297010
8.153,8,9,492.09,894950
13.397,19,13,7413.76,51983120
5.177,8,4,171.69,407330
6.997,8,9,492.09,894950
4.474,3,3,38.94,112050
6.905,5,8,175.68,202440
3.777,3,6,32.98,17490
5.667,5,21,263.47,339420
5.784,8,3,274.96,784350
3.496,8,13,137.23,1022140
3.834,8,22,46.48,138740
6.958,13,10,1208.32,2948410
4.02,8,6,230.65,122430
10.435,13,8,1955.84,2091880
7.699,8,9,492.09,894950
4.561,8,13,137.23,1022140
4.891,8,15,630.71,324730
7.992,8,9,492.09,894950
23.517,19,18,10874.88,73222080
15.752,16,21,8151.04,9616900
8.444,8,5,328.42,46333
24.782,19,18,10874.88,73222080
3.355,8,3,274.96,784350
8.774,8,9,492.09,894950
3.581,11,1,626.31,2542520
6.08,8,21,680.89,791980
3.743,3,12,33.19,64200
3.93,3,13,18.72,146020
5.196,8,5,328.42,46333
3.987,2,22,6.29,19820
3.97,8,4,171.69,407330
4.335,8,16,22.34,229530
6.201,8,3,274.96,784350
5.128,8,17,266.05,297010
14.525,19,1,13117.44,53243360
5.01,3,19,51.4,51580
6.815,3,5,41.06,6619
3.364,3,6,32.98,17490
6.676,8,1,258.01,1046920
4.048,8,14,313.68,203000
3.227,5,1,110.61,448680
6.011,8,21,680.89,791980
8.118,8,7,373.81,427630
3.447,8,22,46.48,138740
4.478,8,1,258.01,1046920
4.791,3,20,53.74,46310
11.143,13,9,2109.44,3963350
4.069,8,22,46.48,138740
5.057,8,17,266.05,297010
3.263,3,4,24.68,58190
6.536,8,5,328.42,46333
6.977,8,20,358.53,324170
7.308,8,21,680.89,791980
7.7,13,17,1218.56,1315330
2.923,8,14,313.68,203000
17.388,15,21,5560.32,6675260
5.305,8,17,266.05,297010
3.817,8,13,137.23,1022140
5.992,8,22,46.48,138740
5.527,8,16,22.34,229530
7.078,16,14,3993.6,2465000
6.932,3,10,37.8,95110
29.341,19,18,10874.88,73222080
4.254,3,1,36.89,149560
10.879,15,10,2314.24,5611490
5.693,11,4,416.85,989230
6.629,8,21,680.89,791980
3.796,8,1,258.01,1046920
4.156,8,4,171.69,407330
6.574,3,7,47.45,61090
6.052,5,5,130.69,19857
11.642,15,17,2375.68,2503370
3.082,2,1,36.89,149560
5.425,15,6,1945.6,1031910
7.644,8,9,492.09,894950
6.525,5,10,113.55,285330
4.765,5,3,117.33,336150
4.658,8,22,46.48,138740
5.244,8,3,274.96,784350
5.546,5,21,263.47,339420
4.903,8,14,313.68,203000
8.106,8,5,328.42,46333
3.793,8,16,22.34,229530
6.529,3,9,71.45,127850
4.603,8,15,630.71,324730
6.266,13,10,1208.32,2948410
6.068,8,10,266.13,665770
3.581,5,15,251.44,139170
6.66,8,10,266.13,665770
3.602,8,14,313.68,203000
3.181,8,6,230.65,122430
7.105,8,7,373.81,427630
4.123,3,16,3.42,32790
26.733,19,18,10874.88,73222080
6.911,13,5,1413.12,205189
6.649,8,5,328.42,46333
5.174,8,3,274.96,784350
5.246,9,22,68.15,198200
25.769,19,18,10874.88,73222080
7.112,8,21,680.89,791980
3.082,8,19,309.56,361060
4.54,8,14,313.68,203000
6.21,19,22,2775.04,7055920
20.099,19,4,8806.4,20715640
5.338,8,7,373.81,427630
24.894,19,18,10874.88,73222080
4.963,8,7,373.81,427630
5.872,8,8,441.41,472360
4.563,5,17,110.57,127290
4.542,8,15,630.71,324730
6.457,15,1,2170.88,8824040
5.666,5,5,130.69,19857
27.128,19,18,10874.88,73222080
8.888,8,8,441.41,472360
3.485,8,4,171.69,407330
6.963,8,5,328.42,46333
5.075,8,10,266.13,665770
17.139,12,7,1187.84,1405070
5.713,8,12,231.89,449400
4.801,5,15,251.44,139170
2.432,3,6,32.98,17490
7.347,5,7,150.19,183270
6.343,5,5,130.69,19857
26.716,19,18,10874.88,73222080
7.543,3,9,71.45,127850
3.575,8,6,230.65,122430
5.125,13,22,218.97,614420
4.836,5,16,11.25,98370
4.227,2,21,80.86,113140
3.102,8,6,230.65,122430
4.385,13,22,218.97,614420
2.29,8,6,230.65,122430
2.78,8,6,230.65,122430
8.607,7,5,225.31,33095
4.21,3,19,51.4,51580
21.435,19,12,11960.32,22855200
3.559,8,6,230.65,122430
4.292,8,22,46.48,138740
