query_id,size,cpu_time,data_scanned,shuffled_mb
21,10,8.758,1699.882,0.747
22,10,0.984,281.461,26.711
1,11,13.537,5178.998,0.001
2,11,1.476,8.622,2.303
3,11,3.861,2221.514,3.89
4,11,4.159,275.374,0.0
5,11,4.011,507.871,18.144
6,11,0.156,66.631,0.0
7,11,2.441,659.822,9.73
8,11,6.051,261.363,5.345
9,11,8.621,776.947,20.305
10,11,5.114,749.344,183.878
11,11,0.504,387.654,27.674
12,11,0.632,72.473,0.0
13,11,22.838,818.441,308.132
14,11,0.412,217.008,29.116
15,11,0.724,232.527,100.116
16,11,2.213,393.406,136.977
17,11,2.881,5.906,0.574
18,11,16.276,3973.876,0.095
19,11,1.907,147.915,41.825
20,11,0.712,46.071,13.739
21,11,11.453,2222.922,0.977
22,11,1.287,368.064,34.93
1,12,18.314,7006.88,0.001
2,12,1.997,11.665,3.116
3,12,5.224,3005.578,5.263
4,12,5.626,372.565,0.0
5,12,5.426,687.12,24.547
6,12,0.211,90.148,0.0
7,12,3.303,892.7,13.164
8,12,8.186,353.609,7.232
9,12,11.664,1051.163,27.472
10,12,6.919,1013.819,248.777
11,12,0.681,524.473,37.441
12,12,0.856,98.051,0.0
13,12,30.898,1107.302,416.884
14,12,0.557,293.599,39.393
15,12,0.98,314.596,135.451
16,12,2.994,532.255,185.322
17,12,3.898,7.991,0.776
18,12,22.02,5376.42,0.129
19,12,2.581,200.12,56.586
20,12,0.963,62.331,18.588
21,12,15.496,3007.483,1.322
22,12,1.741,497.969,47.258
1,13,24.684,9444.055,0.002
2,13,2.692,15.723,4.2
3,13,7.041,4050.997,7.094
4,13,7.583,502.152,0.001
5,13,7.314,926.118,33.085
6,13,0.284,121.504,0.0
7,13,4.452,1203.205,17.743
8,13,11.034,476.603,9.748
9,13,15.721,1416.785,37.027
10,13,9.326,1366.452,335.308
11,13,0.918,706.899,50.464
12,13,1.153,132.156,0.0
13,13,41.645,1492.451,561.887
14,13,0.751,395.721,53.095
15,13,1.32,424.021,182.565
16,13,4.035,717.388,249.782
17,13,5.254,10.77,1.046
18,13,29.68,7246.48,0.174
19,13,3.478,269.727,76.268
20,13,1.298,84.011,25.053
21,13,20.886,4053.564,1.782
22,13,2.347,671.176,63.696
1,14,34.24,13099.819,0.002
2,14,3.734,21.809,5.826
3,14,9.766,5619.125,9.84
4,14,10.519,696.534,0.001
5,14,10.145,1284.616,45.893
6,14,0.394,168.538,0.0
7,14,6.175,1668.961,24.611
8,14,15.305,661.095,13.521
9,14,21.806,1965.218,51.36
10,14,12.936,1895.401,465.104
11,14,1.274,980.537,69.999
12,14,1.6,183.313,0.0
13,14,57.766,2070.174,779.392
14,14,1.042,548.903,73.647
15,14,1.832,588.158,253.235
16,14,5.597,995.086,346.471
17,14,7.288,14.939,1.451
18,14,41.168,10051.568,0.241
19,14,4.825,374.138,105.792
20,14,1.8,116.531,34.751
21,14,28.97,5622.685,2.472
22,14,3.256,930.986,88.353
